385 201 2 0
1 371 0 0
210 2 4 0
355 220 3 1
3 339 0 0
234 3 6 1
322 241 4 0
4 309 0 1
252 5 7 1
290 264 5 1
6 270 1 3
269 8 8 1
235 278 6 1
10 189 1 5
282 6 8 1
164 287 5 1
4 135 1 0
291 3 9 1
106 299 3 0
3 91 1 0
301 2 9 0
76 306 2 0
2 66 1 0
308 1 9 0
73 304 2 0
1 89 1 0
296 3 9 1
103 291 3 0
2 145 1 0
271 3 8 1
169 262 5 1
3 178 1 0
245 5 6 1
193 231 5 1
5 189 1 1
220 4 5 1
166 212 5 1
9 135 1 4
211 11 4 3
109 212 3 0
5 93 1 1
213 3 4 1
70 211 2 0
2 51 1 0
212 1 4 0
30 210 1 0
2 17 1 0
210 1 4 0
41 205 2 0
3 65 1 0
202 90 5 1
199 114 5 1
195 126 5 1
183 117 5 0
168 105 4 0
156 95 3 0
149 82 3 0
135 78 2 0
133 92 2 7
140 103 3 10
145 110 3 10
149 120 3 10
157 128 4 10
164 155 4 10
179 185 5 2
185 220 5 1
177 244 5 1
170 228 5 1
142 211 4 1
129 201 4 5
117 181 3 0
108 164 3 1
90 152 2 0
83 149 2 3
80 142 2 0
79 181 2 8
93 162 3 2
83 181 3 7
95 198 3 0
100 215 3 1
104 233 3 10
113 252 3 10
121 278 3 1
137 302 4 0
152 316 4 10
164 327 4 10
189 344 5 10
